TAXON , C0 , C1 , C2 , C3 , C4 , C5 , C6 , C7 , C8 , C9 , C10 , C11 , C12 , C13 , C14 , C15 , C16 , C17 , C18 , C19
"Aceros_undulatus" , 0.000863938 , -0.00203798 , 0.00182552 , 0.0031359 , -0.00163134 , -0.000333519 , -0.00138974 , 0.000128012 , -0.000268179 , -8.86104e-05 , 0.000701452 , 0.00139035 , 0.00326514 , -0.00221682 , 0.0025248 , 0.00050087 , -0.0042722 , 0.000540992 , -0.000799808 , 0.000549413
 "Basileuterus_griseiceps" , 0.000517311 , 6.25415e-05 , -0.000767534 , -5.85075e-06 , -0.000891032 , -0.000660872 , -0.00113282 , 0.000827675 , -6.63182e-05 , -0.000342508 , -0.000857715 , 7.07929e-05 , -0.00110368 , -0.00144413 , 0.00225639 , 0.000958282 , 0.000685181 , -0.000533014 , -0.000805763 , -0.000421921
"Cercomacra_tyrannina" , 0.000345381 , 1.7653e-05 , -0.000543266 , -0.000688275 , -0.00125105 , -0.00178526 , 0.00137945 , -0.00116236 , 0.00118634 , 0.000927967 , 0.000602931 , 0.000983261 , 0.000299523 , 0.000642458 , -0.000233714 , 0.00100287 , -0.00022946 , -0.000144144 , 0.000267196 , -4.81565e-05
"Ducula_rubricera" , 0.000472676 , -0.000144298 , -0.000485115 , -0.000103296 , -0.000146212 , -0.000123197 , 0.00149275 , 0.0017393 , -0.00429409 , 0.00141338 , -0.000161068 , 0.00154614 , 0.00232025 , -0.000135971 , -0.000646459 , -0.000160678 , -0.00304381 , -0.000443039 , 0.000192242 , 0.000464378
"Eupodotis_rueppellii" , 0.00083072 , -1.75592e-05 , -0.00109501 , 0.000647405 , 0.00195729 , 0.000942111 , 0.000815774 , -0.000824107 , 0.000849845 , -7.69449e-05 , -0.000681921 , 0.000848974 , -0.00343911 , -0.00303399 , -0.00263214 , -0.000897037 , 0.00145872 , 0.00129349 , 0.00118234 , -0.0026054
"Francolinus_nobilis" , 0.000219604 , 3.34711e-05 , -0.000147471 , -0.000142109 , -8.15507e-05 , -0.000102452 , -0.000605565 , -0.000213145 , -0.000526338 , 3.32922e-05 , -4.00171e-05 , 6.55418e-05 , 0.00247575 , -0.00228074 , -0.00152804 , 0.000126566 , 0.00207675 , -0.000974139 , -0.000152242 , 9.0918e-06
"Gyps_fulvus" , -0.00229805 , -0.00276154 , 0.00186008 , -0.00133761 , -0.00179397 , -0.000254635 , -0.000662303 , -0.00144858 , -0.00172427 , -0.00109501 , 0.000948895 , 0.00048583 , 0.00138551 , -0.00203923 , -0.00328895 , -0.00426312 , -0.00335515 , 0.00168886 , -0.000620223 , -0.000873192
"Hypocnemoides_maculicauda" , 0.000347228 , 1.70952e-05 , -0.000546169 , -0.000688041 , -0.00125392 , -0.00178904 , 0.0013821 , -0.00115883 , 0.00119117 , 0.000931973 , 0.000606742 , 0.00099092 , 0.000305272 , 0.000649458 , -0.000213181 , 0.00102485 , -0.00022416 , -0.000152433 , 0.000275388 , -6.02183e-05
"Ixos_everetti" , 0.00031976 , -9.71383e-05 , -3.4227e-05 , 0.0027099 , 9.0581e-05 , 0.000154917 , -5.96535e-07 , 0.000173603 , 0.000101554 , -0.000436475 , 0.000378869 , 5.63819e-05 , 0.00213942 , 0.00189423 , 0.000493713 , -0.000630726 , -0.00215597 , -0.000386351 , 0.00125306 , -0.000443972
"Jacamaralcyon_tridactyla" , 0.000603096 , 9.45412e-05 , -0.00114929 , -0.00085668 , -0.00158865 , -0.00215781 , 0.00103466 , -0.00214266 , 0.000932086 , -0.000655946 , -0.000885207 , 0.000265526 , -0.000753967 , -3.11067e-05 , -0.0017232 , -0.0011174 , -0.000462812 , -0.000168057 , -0.000297302 , 0.000427748
"Knipolegus_cyanirostris" , -0.00183091 , -0.000140334 , -0.000827549 , -0.00147145 , -0.00194031 , 0.00327551 , -0.000215143 , 0.00173081 , 0.0019333 , -0.00078907 , -0.000550823 , 0.00159271 , -0.000164195 , -0.00292616 , 0.000555738 , -0.00233739 , 0.00160121 , -0.000907132 , 0.00111177 , 0.00118403
"Lybius_rubrifacies" , 0.000571495 , 4.36834e-05 , -0.000637593 , 0.000296074 , 0.000313795 , 8.90324e-05 , -7.23692e-05 , 5.94694e-05 , -0.000370146 , -0.00141248 , -0.00164875 , -0.00128623 , 0.000767538 , -0.000846741 , 0.00184643 , -0.00243568 , -0.00153347 , -0.000761974 , 0.00140088 , 0.000613437
"Myzomela_sanguinolenta" , -0.00168399 , -0.000197005 , -0.000511158 , 0.000101261 , 0.000196125 , -0.000149392 , 0.00124577 , 0.00100688 , 0.000268665 , -0.00120199 , -4.53986e-05 , -0.00064608 , 0.00104662 , 0.00142103 , -0.000444781 , -0.00575557 , 0.00148817 , 0.00383716 , -0.0017045 , -0.00186674
